name,vore,conservation,sleep_total,sleep_rem,sleep_cycle,awake,bodywt,body_size
Owl monkey,omni,NA,17,1.8,NA,7,0.48,Small
Mountain beaver,herbi,nt,14.4,2.4,NA,9.6,1.35,Small
Greater short-tailed shrew,omni,lc,14.9,2.3,0.133333333,9.1,0.019,Small
Cow,herbi,domesticated,4,0.7,0.666666667,20,600,Large
Three-toed sloth,herbi,NA,14.4,2.2,0.766666667,9.6,3.85,Large
Northern fur seal,carni,vu,8.7,1.4,0.383333333,15.3,20.49,Large
Dog,carni,domesticated,10.1,2.9,0.333333333,13.9,14,Large
Goat,herbi,lc,5.3,0.6,NA,18.7,33.5,Large
Guinea pig,herbi,domesticated,9.4,0.8,0.216666667,14.6,0.728,Small
Grivet,omni,lc,10,0.7,NA,14,4.75,Large
Chinchilla,herbi,domesticated,12.5,1.5,0.116666667,11.5,0.42,Small
Star-nosed mole,omni,lc,10.3,2.2,NA,13.7,0.06,Small
African giant pouched rat,omni,NA,8.3,2,NA,15.7,1,Small
Lesser short-tailed shrew,omni,lc,9.1,1.4,0.15,14.9,0.005,Small
Long-nosed armadillo,carni,lc,17.4,3.1,0.383333333,6.6,3.5,Large
Tree hyrax,herbi,lc,5.3,0.5,NA,18.7,2.95,Large
North American Opossum,omni,lc,18,4.9,0.333333333,6,1.7,Large
Big brown bat,insecti,lc,19.7,3.9,0.116666667,4.3,0.023,Small
Horse,herbi,domesticated,2.9,0.6,1,21.1,521,Large
Donkey,herbi,domesticated,3.1,0.4,NA,20.9,187,Large
European hedgehog,omni,lc,10.1,3.5,0.283333333,13.9,0.77,Small
Patas monkey,omni,lc,10.9,1.1,NA,13.1,10,Large
Domestic cat,carni,domesticated,12.5,3.2,0.416666667,11.5,3.3,Large
Galago,omni,NA,9.8,1.1,0.55,14.2,0.2,Small
Giraffe,herbi,cd,1.9,0.4,NA,22.1,899.995,Large
Pilot whale,carni,cd,2.7,0.1,NA,21.35,800,Large
Gray seal,carni,lc,6.2,1.5,NA,17.8,85,Large
Gray hyrax,herbi,lc,6.3,0.6,NA,17.7,2.625,Large
Human,omni,NA,8,1.9,1.5,16,62,Large
Mongoose lemur,herbi,vu,9.5,0.9,NA,14.5,1.67,Small
Thick-tailed opposum,carni,lc,19.4,6.6,NA,4.6,0.37,Small
Macaque,omni,NA,10.1,1.2,0.75,13.9,6.8,Large
Mongolian gerbil,herbi,lc,14.2,1.9,NA,9.8,0.053,Small
Golden hamster,herbi,en,14.3,3.1,0.2,9.7,0.12,Small
House mouse,herbi,nt,12.5,1.4,0.183333333,11.5,0.022,Small
Little brown bat,insecti,NA,19.9,2,0.2,4.1,0.01,Small
Degu,herbi,lc,7.7,0.9,NA,16.3,0.21,Small
Rabbit,herbi,domesticated,8.4,0.9,0.416666667,15.6,2.5,Large
Sheep,herbi,domesticated,3.8,0.6,NA,20.2,55.5,Large
Chimpanzee,omni,NA,9.7,1.4,1.416666667,14.3,52.2,Large
Baboon,omni,NA,9.4,1,0.666666667,14.6,25.235,Large
Desert hedgehog,unknown,lc,10.3,2.7,NA,13.7,0.55,Small
Phalanger,unknown,NA,13.7,1.8,NA,10.3,1.62,Small
Caspian seal,carni,vu,3.5,0.4,NA,20.5,86,Large
Potoroo,herbi,NA,11.1,1.5,NA,12.9,1.1,Small
Giant armadillo,insecti,en,18.1,6.1,NA,5.9,60,Large
Rock hyrax,unknown,lc,5.4,0.5,NA,18.6,3.6,Large
Laboratory rat,herbi,lc,13,2.4,0.183333333,11,0.32,Small
Squirrel monkey,omni,NA,9.6,1.4,NA,14.4,0.743,Small
Eastern american mole,insecti,lc,8.4,2.1,0.166666667,15.6,0.075,Small
Cotton rat,herbi,NA,11.3,1.1,0.15,12.7,0.148,Small
Mole rat,unknown,NA,10.6,2.4,NA,13.4,0.122,Small
Thirteen-lined ground squirrel,herbi,lc,13.8,3.4,0.216666667,10.2,0.101,Small
Golden-mantled ground squirrel,herbi,lc,15.9,3,NA,8.1,0.205,Small
Musk shrew,unknown,NA,12.8,2,0.183333333,11.2,0.048,Small
Pig,omni,domesticated,9.1,2.4,0.5,14.9,86.25,Large
Brazilian tapir,herbi,vu,4.4,1,0.9,19.6,207.501,Large
Tenrec,omni,NA,15.6,2.3,NA,8.4,0.9,Small
Tree shrew,omni,NA,8.9,2.6,0.233333333,15.1,0.104,Small
Genet,carni,NA,6.3,1.3,NA,17.7,2,Large
Red fox,carni,NA,9.8,2.4,0.35,14.2,4.23,Large
